name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,url
Grattamacco,Rosso,Toscana,Italy,2014,Red wine,Collemassari,750,624,832,0.016826923,14,71791,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71791
Castelvecchio,Cabernet Franc,Friuli-Venezia-Giulia,Italy,2013,Red wine,Castelvecchio,750,231,308,0.042207792,13,82457,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=82457
Zlatan Plavac,Grand Cru,Primorska,Croatia,2010,Red wine,Zlatan Otok,750,431,574.67,0.026101937,15,71638,NaN,7,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=71638
Planeta,Etna Rosso,Sicilien,Italy,2015,Red wine,Planeta,750,195,260,0.05,13,79266,86.37931034,8,9,10,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=79266
Planeta,Etna Bianco,Sicilien,Italy,2017,White wine,Planeta,750,195,260,0.05,13,79640,86.37931034,8,9,10,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=79640
Château Haut Condissas Collection Or,NA,Bordeaux,France,2009,Red wine,Domaine Rollan de By,750,1499,1998.67,0.007254824,14.5,90208,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=90208
Pasqua Famiglia Passione Sentimento Rosso,Romeo & Juliet,Venetien,Italy,2015,Red wine,Pasqua,750,99,132,0.106060606,14,70508,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70508
Pasqua Famiglia Passione Sentimento Bianco,Romeo & Juliet,Venetien,Italy,2016,White wine,Pasqua,750,99,132,0.098484848,13,70924,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70924
Aurore,Chenin blanc,Loiredalen,France,2015,White wine,Domaine des Grandes Esperances,750,179,238.67,0.056563456,13.5,71262,88.09090909,7,6,0,0,2,https://www.systembolaget.se/sok-dryck/?searchquery=71262
Fontaine du Clos,Côtes-du-Rhône,Rhonedalen,France,2017,Red wine,Domaine Fontaine Du Clos,750,119,158.67,0.08823344,14,72122,91,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72122
Pouilly Fumé,Domaine de Terre Blanches,Loiredalen,France,2016,White wine,Domaine de Terre Blanches,750,229,305.33,0.040939312,12.5,71475,NaN,8,8,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=71475
Sancerre,Domaine de Terre Blanches,Loiredalen,France,2016,White wine,Domaine de Terre Blanches,750,229,305.33,0.042576884,13,71020,89.2599278,7,9,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=71020
Côtes du Rhône,Les Silénes,Rhonedalen,France,2016,White wine,Le Plan des Moines,750,139,185.33,0.067447256,12.5,71476,87.37171053,7,6,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=71476
Côte-Rôtie,Les Serines,Rhonedalen,France,2012,Red wine,Le Plan des Moines,750,546,728,0.017857143,13,73621,NaN,9,9,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=73621
