nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgått;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
8239101;9054356;82391;WB Whisky Breton;;439.00;;700.00;627.14;2017-12-11;0;Whisky;Blended whisky;;Flaska;;Bretagne;Frankrike;Distillerie Warenghem;Clydesdale AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
7257601;9054358;72576;Paco Garcia;Crianza;169.00;;750.00;225.33;2017-12-11;0;Rött vin;;;Flaska;;Rioja;Spanien;Bodegas Paco Garcia;O.Wines and Spirits AB;2014;;13.50%;BS;Övrigt sortiment;0;0;;0;
7517301;9054359;75173;Paco Garcia;Garnacha;185.00;;750.00;246.67;2017-12-11;0;Rött vin;;;Flaska;;Rioja;Spanien;Bodegas Paco Garcia;O.Wines and Spirits AB;2015;;14.50%;BS;Övrigt sortiment;0;0;;0;
7752601;9054360;77526;Paco Garcia;Seis;139.00;;750.00;185.33;2017-12-11;0;Rött vin;;;Flaska;;Rioja;Spanien;Bodegas Paco Garcia;O.Wines and Spirits AB;2016;;13.50%;BS;Övrigt sortiment;0;0;;0;
7638901;9054361;76389;Inanna;Tempranillo;179.00;;750.00;238.67;2017-12-11;0;Rött vin;;;Flaska;;;Spanien;Bodegas Parra Jimenez;Quaffable Wines Sweden AB;2016;;13.50%;BS;Övrigt sortiment;1;0;;0;
8121501;9054364;81215;Armorik;Sherry Cask;598.00;;700.00;854.29;2017-12-11;0;Whisky;Maltwhisky;;Flaska;;Bretagne;Frankrike;Distillerie Warenghem;Clydesdale AB;;;46.00%;BS;Övrigt sortiment;0;0;;0;
8249201;9054365;82492;Armorik;Millesime;1028.00;;700.00;1468.57;2017-12-11;0;Whisky;Maltwhisky;;Flaska;;Bretagne;Frankrike;Distillerie Warenghem;Clydesdale AB;2002;;56.30%;BS;Övrigt sortiment;0;0;;0;
8255101;9054366;82551;Armorik;Dervenn;698.00;;700.00;997.14;2017-12-11;0;Whisky;Maltwhisky;;Flaska;;Bretagne;Frankrike;Distillerie Warenghem;Clydesdale AB;;;46.00%;BS;Övrigt sortiment;0;0;;0;
7965401;9054367;79654;Domaine Dehours;La Croix Joly Oeil de Perdrix Extra Brut;649.00;;750.00;865.33;2017-12-11;0;Mousserande vin;Torrt vitt;;Flaska;Champagnekork-natur;Champagne;Frankrike;Champagne Dehours;Enjoy Wine & Spirits AB;2011;;12.00%;BS;Övrigt sortiment;0;0;;0;
8933203;9054371;89332;Heartbeat;Hoppy Lager;21.90;;330.00;66.36;2017-12-11;0;Öl;Ljus lager;Modern stil;Flaska;;;Sverige;Dunder & Krut;Dunder & Krut AB;;;5.20%;BS;Övrigt sortiment;0;0;;0;Kornmalt och humle.
