"","Artikelid","Namn","Namn2","Prisinklmoms","Volymiml","PrisPerLiter","Varugrupp","Typ","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Argang","Alkoholhalt","Ekologisk","Etiskt","EtisktEtikett","Koscher","RavarorBeskrivning","APK"
"100",1013545,"Dolina","Rosé",96,750,128,"Rosévin","","Flaska","","","Serbien","Bacina Vino",2017,"13.50%",0,0,"",0,"",0.10546875
"101",1013558,"The Foundation Stone","",145,750,193.33,"Vitt vin","","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Rickety Bridge Private Cellar",2016,"13.00%",0,0,"",0,"58% chenin blanc, 22% grenache blanc, 10% roussanne, 5% nouvelle och 5% viognier.",0.0672425386644597
"102",1013561,"Stoneleigh","Brut Cuvée",109,750,145.33,"Mousserande vin","Torrt vitt","Flaska","Natur","","Nya Zeeland","Stoneleigh Vineyards",NA,"12.50%",0,0,"",0,"Chardonnay och pinot noir.",0.086011147044657
"103",10135811,"Benedikt Baltes","Bischofsberg VDP Erste Lage",399,750,532,"Rött vin","Kryddigt & Mustigt","Flaska","","Franken","Tyskland","Benedikt Baltes",2015,"13.00%",0,0,"",0,"Spätburgunder (pinot noir).",0.0244360902255639
"104",10135825,"Casa Bauzá Blend","",249,750,332,"Rött vin","Fruktigt & Smakrikt","Flaska","","Valle Central","Chile","Casa Bauzá",2016,"13.50%",0,0,"",0,"38% petit verdot, 28% syrah, 24% cabernet sauvignon, 11% carignan och 3% carménère.",0.0406626506024096
"105",10135831,"Zlatan Plavac","Hvar",229,750,305.33,"Rött vin","","Flaska","","Primorska","Kroatien","Zlatan Otok",2013,"14.00%",0,0,"",0,"",0.0458520289522811
"106",10135843,"De Pietri","Lambrusco di Sorbara",79,750,105.33,"Rött vin","Mjukt & Bärigt","Flaska","Champagnekork-natur","Emilia-Romagna","Italien","AZ AGR DE PIETRI MATTEO",2017,"9.50%",0,0,"",0,"Lambrusco di sorbara.",0.0901927276179626
"107",10135853,"Belsito","Frappato",99,750,132,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Sicilien","Italien","Terre di Giurfo Srl",2016,"13.50%",0,0,"",0,"Frappato.",0.102272727272727
"108",10135862,"Canaletto","Sauvignon Blanc",89,750,118.67,"Vitt vin","Friskt & Fruktigt","Flaska","Skruvkapsyl","Friuli-Venezia-Giulia","Italien","Casa Girelli",2018,"12.50%",0,0,"",0,"Sauvignon blanc.",0.105334119828095
"109",10135877,"Frankland Estate","Chardonnay",99,750,132,"Vitt vin","Friskt & Fruktigt","Flaska","","Western Australia","Australien","Frankland Estate",2017,"13.00%",0,0,"",0,"Chardonnay.",0.0984848484848485
