product_name,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,alchohol
Villa Antinori 2015,8,8,8,0,0,13.5
Villa Antinori 2015,8,7,8,0,0,13.5
Desierto de Azul y Garanza 2016,10,8,8,0,0,14.5
Le Moulin Teyroud Châteauneuf-du-Pape 2015,8,8,8,0,0,14
Mas la Plana Cabernet Sauvignon 2013,9,5,7,0,0,14.5
Lunae Bosoni Lvnae Colli di Luni Vermentino 2017,6,9,0,0,1,13
Patrick Baudouin Effusion 2017,7,9,0,0,1,13.5
Ch. Bonnet 2018,6,9,0,0,1,12.5
Ch. Bonnet 2017,6,8,0,0,1,12.5
Patrick Baudouin Savennières 2015,7,9,0,0,1,13.5
Hugel Pinot Blanc Cuvée les Amours 2014,7,7,0,0,1,13
Ch. Laroque 2014,9,8,9,0,0,13.5
Ch. Larqoue 2011,10,8,8,0,0,13.5
Freixenet Brut Nature 2016,6,8,0,0,1,12
Freixenet Brut Nature 2008,5,8,0,0,1,12
Santa Carolina Chardonnay 2018,7,8,0,0,2,13.5
Villa Poggio Salvi Brunello di Montalcino 2013,11,6,8,0,0,14
Villa Poggio Salvi Tosco 2016,10,8,9,0,0,13.5
Baron de L 2015,7,7,0,0,1,12.5
Vietti Perbacco Langhe Nebbiolo 2016,8,7,8,0,0,14
Vietti Perbacco Langhe Nebbiolo 2015,8,7,8,0,0,13.5
Juillot Mercurey Clos Tonnerre 2017,8,8,7,0,0,13
Jacob's Creek Riesling 2018,6,9,0,0,1,11.7
Cellier des Dauphins,6,6,0,0,2,12
Pellegrino Marsala Superiore Dolce,7,7,0,0,8,18
Giacomo Conterno Barbera d'Alba Cascina Francia 2016,9,9,8,0,0,15.5
Conterno Barbera d'Alba Cerretta 2016,8,8,7,0,0,15.5
Joseph Drouhin Bourgogne Pinot Noir Laforêt 2017,7,6,6,0,0,12.5
G.H. Mumm Cordon Rouge Brut,8,9,0,0,2,12
Samuel Billaud Chablis Premier Cru Montée de Tonnerre 2016,8,9,0,0,1,13
Hirsch Vineyards Chardonnay 2014,8,7,0,0,1,12.9
Gato Negro Cabernet Sauvignon 2018,6,8,7,0,0,11
Gato Negro Cabernet Sauvignon 2018,6,8,6,0,0,11
Gato Negro Cabernet Sauvignon 2018,6,8,6,0,0,11
Hirsch Pinot Noir East Ridge 2016,8,7,7,0,0,12
San Valentín 2018,5,7,0,0,4,11
San Valentín 2017,5,7,0,0,4,11.5
Hirsch Vineyards Pinot Noir Reserve 2014,8,7,7,0,0,13.1
Hirsch Pinot Noir West Ridge 2016,8,8,7,0,0,12.6
Ruinart Brut,8,9,0,0,2,12
Ruinart Brut,6,7,0,0,2,12
R de Ruinart Brut,6,7,0,0,2,12
Sangre de Toro 2017,7,8,7,0,0,12
Viña Alberdi Reserva 2012,7,0,7,0,0,13.5
Campagnola Amarone della Valpolicella Classico 2014,10,8,8,0,0,15
Dopff & Irion Cuvée René Dopff Riesling 2018,7,10,0,0,1,12.5
Baladin Xyauyù Barrel,10,3,0,2,0,14
Baladin Xyauyù Fumè,9,4,0,1,0,14
Baladin Xyauyù,10,4,0,1,0,14
Villabella Soave Classico 2017,8,9,0,0,2,12.5
Scarzello Barolo 2012,7,8,7,0,0,14
Lions de Ch. Suduiraut 2011,9,8,0,0,8,13.5
Zarate Albariño 2018,7,8,0,0,1,12.5
Giulia Negri Barolo La Tartufaia 2011,9,10,10,0,0,14.5
Cocoon Zinfandel 2016,8,7,7,0,0,13.5
Fairview Nurok 2011,8,7,0,0,2,13
Lieubeau Ch. Thébaud L?Aulnaye Muscadet Sèvre et Maine 2012,7,8,0,0,1,12
Foillard Morgon Cuvée Corcelette 2017,8,8,7,0,0,14
Dagueneau Pouilly-Fumé 2017,6,9,0,0,1,12
Dr. Loosen Wehlener Sonnenuhr Riesling Kabinett 2017,6,9,0,0,5,8
The Crossings Sauvignon Blanc 2018,7,9,0,0,2,13
Signorelli Valpolicella Ripasso Superiore 2016,8,8,8,0,0,13.5
J.Normandin-Mercier Pineau des Charentes Rosé,4,3,0,0,7,17
J.Normandin-Mercier Pineau des Charentes Blanc,4,5,0,0,6,17
Dupont Pome 1998,5,4,0,0,7,17
Weil Kiedrich Gräfenberg Riesling Erstes Gewächs 2011,7,7,0,0,1,13.5
Croix de Beaucaillou 2008,9,5,7,0,0,13
Bordelet Poiré de Glace 2013,0,0,0,0,0,6
Sartarelli Balciana Verdicchio dei Castelli di Jesi Classico Sup. 2016,8,7,0,0,1,15
Ch. Climens 2007,9,7,0,0,7,14.5
Ch. Climens 2006,9,7,0,0,7,14.5
Antiguas Reservas Cabernet Sauvignon 2015,8,0,6,0,0,14
Astoria Casa Vittorino Valdobbiadene Prosecco Superiore 2016,7,4,0,0,2,11.5
Astoria Casa Vittorino Valdobbiadene Prosecco Superiore 2017,7,4,0,0,2,11.5
Masi Campofiorin 2015,8,8,7,0,0,13
